Order ID,Customer ID,Order Date,Ship Date,Region,State,Category,Sub-Category,Segment,Ship Mode,Sales,Profit,Discount
ORD-100000,CUST-1237,2023-01-10,2023-01-14,West,Washington,Furniture,Chairs,Consumer,Standard Class,132.94,21.34,0.05
ORD-100001,CUST-3257,2022-09-04,2022-09-04,South,Georgia,Technology,Machines,Corporate,Standard Class,694.27,92.25,0.05
ORD-100002,CUST-2624,2023-08-14,2023-08-18,East,Virginia,Technology,Accessories,Home Office,Standard Class,126.64,-2.24,0.1
ORD-100003,CUST-1482,2022-05-28,2022-06-01,West,Washington,Technology,Accessories,Corporate,Same Day,1305.83,-157.04,0.3
ORD-100004,CUST-3243,2023-01-17,2023-01-17,East,Virginia,Office Supplies,Paper,Consumer,Second Class,1015.03,-192.35,0.3
ORD-100005,CUST-2907,2024-03-06,2024-03-08,Central,Wisconsin,Technology,Accessories,Corporate,Same Day,1398.18,-295.87,0.4
ORD-100006,CUST-2229,2022-03-25,2022-03-29,East,New Jersey,Furniture,Tables,Consumer,Second Class,1279.92,250.95,0.05
ORD-100007,CUST-2712,2022-05-01,2022-05-05,East,Pennsylvania,Office Supplies,Storage,Home Office,Standard Class,217.09,-15.08,0.2
ORD-100008,CUST-4131,2023-11-16,2023-11-16,West,Oregon,Technology,Machines,Corporate,Standard Class,306.17,35.08,0.0
ORD-100009,CUST-2868,2023-08-17,2023-08-23,East,Pennsylvania,Technology,Copiers,Home Office,Same Day,571.13,12.72,0.1
ORD-100010,CUST-3873,2022-03-04,2022-03-09,West,California,Office Supplies,Supplies,Home Office,Standard Class,1437.71,-207.13,0.3
ORD-100011,CUST-1092,2023-11-16,2023-11-18,West,Arizona,Office Supplies,Supplies,Corporate,Same Day,690.21,-65.95,0.2
ORD-100012,CUST-2177,2022-08-12,2022-08-18,South,North Carolina,Technology,Phones,Corporate,Standard Class,1383.07,8.04,0.2
ORD-100013,CUST-3250,2023-04-05,2023-04-08,West,Washington,Furniture,Furnishings,Consumer,Second Class,1361.51,-389.78,0.4
ORD-100014,CUST-4621,2023-01-03,2023-01-08,West,Washington,Office Supplies,Storage,Home Office,Same Day,765.85,80.65,0.1
ORD-100015,CUST-1049,2023-11-06,2023-11-07,East,Massachusetts,Technology,Accessories,Consumer,Second Class,634.03,126.41,0.0
ORD-100016,CUST-2512,2023-03-06,2023-03-10,East,Virginia,Technology,Copiers,Consumer,Second Class,1176.97,97.16,0.2
ORD-100017,CUST-2614,2023-02-12,2023-02-15,Central,Michigan,Office Supplies,Binders,Corporate,Same Day,1030.71,-50.86,0.2
ORD-100018,CUST-2392,2022-06-16,2022-06-16,West,Nevada,Technology,Phones,Consumer,Same Day,367.98,-1.5,0.1
ORD-100019,CUST-1104,2023-01-08,2023-01-12,Central,Texas,Technology,Accessories,Home Office,Standard Class,995.67,47.39,0.2
ORD-100020,CUST-2491,2022-12-22,2022-12-26,West,Washington,Furniture,Tables,Home Office,First Class,78.68,-22.21,0.4
ORD-100021,CUST-1590,2022-11-16,2022-11-16,East,New York,Office Supplies,Supplies,Corporate,Same Day,528.43,51.42,0.1
ORD-100022,CUST-1840,2023-06-13,2023-06-13,West,Oregon,Office Supplies,Supplies,Home Office,Second Class,1427.98,-277.23,0.4
ORD-100023,CUST-1372,2023-10-21,2023-10-27,South,Alabama,Furniture,Chairs,Home Office,First Class,1198.66,-189.57,0.3
ORD-100024,CUST-4191,2023-06-30,2023-07-04,Central,Michigan,Furniture,Tables,Corporate,Second Class,756.92,-34.02,0.3
ORD-100025,CUST-1928,2024-01-28,2024-02-03,East,Massachusetts,Furniture,Tables,Consumer,Same Day,1409.88,234.91,0.05
ORD-100026,CUST-1793,2023-04-29,2023-05-01,West,Nevada,Furniture,Chairs,Consumer,First Class,724.13,-169.79,0.4
ORD-100027,CUST-1929,2022-08-14,2022-08-14,Central,Michigan,Furniture,Bookcases,Corporate,Standard Class,994.95,119.55,0.05
ORD-100028,CUST-1347,2024-03-29,2024-04-03,East,Pennsylvania,Technology,Phones,Corporate,First Class,721.87,-33.35,0.2
ORD-100029,CUST-3604,2023-03-21,2023-03-27,South,Florida,Office Supplies,Paper,Corporate,Second Class,1141.51,-268.86,0.3
ORD-100030,CUST-1112,2022-06-24,2022-06-25,West,Nevada,Furniture,Chairs,Home Office,Second Class,705.44,80.83,0.05
ORD-100031,CUST-1638,2023-11-05,2023-11-07,West,Nevada,Office Supplies,Paper,Home Office,Same Day,617.4,-57.06,0.3
ORD-100032,CUST-1797,2023-03-21,2023-03-27,East,Massachusetts,Technology,Phones,Home Office,Second Class,361.04,69.05,0.05
ORD-100033,CUST-2335,2024-02-22,2024-02-26,South,Georgia,Technology,Accessories,Corporate,Second Class,639.26,150.22,0.05
ORD-100034,CUST-3389,2023-04-15,2023-04-20,West,Nevada,Office Supplies,Binders,Home Office,First Class,69.84,14.36,0.1
ORD-100035,CUST-1076,2023-06-21,2023-06-25,South,Alabama,Furniture,Tables,Home Office,Second Class,425.9,123.68,0.0
ORD-100036,CUST-3970,2023-04-30,2023-05-04,South,Georgia,Furniture,Tables,Consumer,Second Class,951.74,67.24,0.2
ORD-100037,CUST-2134,2022-09-12,2022-09-13,West,California,Technology,Machines,Consumer,Standard Class,269.05,-15.06,0.3
ORD-100038,CUST-4986,2022-11-30,2022-12-04,West,California,Furniture,Chairs,Consumer,Same Day,263.78,-39.41,0.3
ORD-100039,CUST-3863,2023-06-04,2023-06-05,East,Virginia,Technology,Copiers,Corporate,Same Day,802.08,-195.8,0.3
ORD-100040,CUST-2607,2023-03-03,2023-03-03,East,Pennsylvania,Office Supplies,Paper,Corporate,Second Class,114.16,-2.57,0.3
ORD-100041,CUST-4211,2023-11-17,2023-11-19,East,New York,Office Supplies,Supplies,Consumer,Second Class,504.87,2.83,0.1
ORD-100042,CUST-1899,2022-05-21,2022-05-24,West,Washington,Office Supplies,Storage,Consumer,First Class,510.41,8.01,0.05
ORD-100043,CUST-2767,2022-06-15,2022-06-20,Central,Texas,Furniture,Furnishings,Consumer,Second Class,1464.8,-253.83,0.3
ORD-100044,CUST-2498,2022-04-05,2022-04-10,South,Tennessee,Technology,Accessories,Corporate,First Class,1391.39,-226.77,0.3
ORD-100045,CUST-2210,2023-06-14,2023-06-18,West,Arizona,Furniture,Chairs,Corporate,First Class,538.89,42.09,0.1
ORD-100046,CUST-1162,2022-09-29,2022-10-01,East,New York,Technology,Accessories,Consumer,Standard Class,421.96,-9.78,0.2
ORD-100047,CUST-3197,2023-02-20,2023-02-21,South,Georgia,Technology,Accessories,Corporate,First Class,1046.53,47.32,0.1
ORD-100048,CUST-3818,2022-02-28,2022-03-06,South,Alabama,Furniture,Bookcases,Consumer,First Class,553.96,-158.19,0.4
ORD-100049,CUST-1343,2024-03-31,2024-04-02,West,California,Technology,Phones,Home Office,Standard Class,811.79,4.31,0.2
ORD-100050,CUST-2711,2022-12-14,2022-12-18,Central,Illinois,Technology,Phones,Corporate,Standard Class,868.67,-149.71,0.3
ORD-100051,CUST-2072,2022-04-23,2022-04-24,South,North Carolina,Furniture,Chairs,Home Office,Second Class,325.3,69.52,0.0
ORD-100052,CUST-3048,2022-10-24,2022-10-27,West,Washington,Office Supplies,Storage,Home Office,Second Class,209.35,-35.24,0.3
ORD-100053,CUST-4002,2022-01-16,2022-01-16,Central,Michigan,Technology,Phones,Corporate,Standard Class,762.67,-30.03,0.05
ORD-100054,CUST-3662,2023-11-06,2023-11-12,East,Massachusetts,Furniture,Tables,Corporate,Standard Class,281.92,-67.76,0.4
ORD-100055,CUST-1940,2023-12-06,2023-12-07,East,New Jersey,Furniture,Furnishings,Home Office,First Class,1122.34,-152.81,0.3
ORD-100056,CUST-3561,2022-01-15,2022-01-15,West,Washington,Furniture,Bookcases,Consumer,Second Class,1015.11,79.19,0.0
ORD-100057,CUST-3746,2024-06-10,2024-06-14,Central,Michigan,Furniture,Chairs,Consumer,Same Day,237.13,-10.73,0.3
ORD-100058,CUST-2101,2022-07-09,2022-07-10,South,Alabama,Technology,Copiers,Consumer,Same Day,898.58,75.83,0.1
